Specialty,Descriptions
Family Medicine,Primary care;general health issues;preventive care
Cardiology,Heart problems;heart disorders;vascular issues;hypertension
Dermatology,Skin disorders;acne;eczema;psoriasis;dermatitis
Endocrinology,Hormonal imbalances;diabetes;thyroid disorders
Gastroenterology,Digestive system disorders;gastritis;irritable bowel syndrome (IBS);liver disease
Hematology,Blood-related disorders;anemia;leukemia;blood cancers
Infectious Disease,Infections caused by microorganisms;
Nephrology,Kidney disorders;renal failure;kidney stones
Neurology,Neurological disorders;migraines;epilepsy;Alzheimer's disease
Obstetrics and Gynecology,Women's reproductive health;pregnancy;gynecological conditions
Oncology,Cancer;tumors;chemotherapy;radiation therapy
Ophthalmology,Eye disorders;vision problems;cataracts
Orthopedics,Musculoskeletal disorders;bone fractures;joint problems
Otolaryngology (ENT),Ear;nose;throat disorders;sinusitis;hearing loss
Pediatrics,Childhood health issues;developmental disorders
Physical Medicine and Rehabilitation,Rehabilitation after injuries or surgeries;physical therapy;
Psychiatry,Mental health disorders;depression;anxiety;schizophrenia
Pulmonology,Respiratory system disorders;asthma;chronic obstructive pulmonary disease (COPD)
Radiology,Medical imaging;X-rays;CT scans;MRI
Rheumatology,Autoimmune disorders;arthritis;lupus
Urology,Urinary system disorders;kidney stones;prostate issues
Allergy and Immunology,Allergies;immune system disorders
Anesthesiology,Anesthesia;pain management during surgery
Emergency Medicine,Urgent medical care;trauma;critical conditions
Internal Medicine,Adult health issues;chronic diseases;internal organ disorders
General Surgery,Surgical procedures for various conditions
Plastic Surgery,Cosmetic and reconstructive surgery
Thoracic Surgery,Surgery on the organs in the chest
Vascular Surgery,Blood vessel-related surgery
Cardiothoracic Surgery,Surgery on the heart and chest organs
Colorectal Surgery,Surgery on the colon and rectum
Critical Care Medicine,Intensive care for critically ill patients
Geriatrics,Elderly care;age-related health issues
Neonatology,Care for newborns;premature infants
Pain Medicine,Management of chronic pain
Sleep Medicine,Sleep disorders;insomnia;sleep apnea
Sports Medicine,Injuries related to sports;physical fitness
Addiction Medicine,Substance abuse and addiction treatment
Nuclear Medicine,Medical imaging using radioactive substances
Pathology,Diagnosis of diseases through examination of tissues
Clinical Genetics,Genetic disorders;inherited conditions
Medical Genetics,Genetic testing;counseling for genetic conditions
Aerospace Medicine,Health issues related to aviation and space travel
Nuclear Radiology,Medical imaging using nuclear medicine techniques
Pediatric Cardiology,Heart disorders in children
Pediatric Endocrinology,Endocrine disorders in children
Pediatric Gastroenterology,Digestive system disorders in children
Pediatric Hematology-Oncology,Blood disorders and cancer in children
Pediatric Nephrology,Kidney disorders in children
Pediatric Pulmonology,Respiratory disorders in children
Reproductive Endocrinology and Infertility,Issues related to fertility;infertility;reproductive disorders
